"","Kode_HS","Uraian","Md","Mdi","Xd","Xdi","RCA","RSCA","TBI","Status"
"36","85176221","Control & adaptor units, incl. gateways, bridges and routers","39632942497","113075865","31781070069.0587","13623539.1","-1.19755069997242","11.1239833636591","-0.784947069060446","2"
"37","85176249","Oth app for carrier-current line system or for digital line systems","39632942497","111713708","31781070069.0587","2139668.815","-1.35906124806463","6.57008034361874","-0.962413608188772","2"
"38","31022100","Ammonium sulphate","39632942497","111145258","31781070069.0587","0","-1.38523220087397","6.19167399678069","-1","2"
"39","85030090","Oth parts in manufacture electric motor generator of output>10000 kw","39632942497","107961264","31781070069.0587","2008066.934","-1.31433897993518","7.36255802704598","-0.963479509842518","2"
"40","69072191","Paving,hearth/wall tiles,rectangle, circle>7cm,unglazed","39632942497","106971294","31781070069.0587","0","-1.33321100408941","7.00220273476721","-1","2"
"41","24012010","Virginia tobacco, partly or wholly stemmed/stripped,flue-cured","39632942497","104202411","31781070069.0587","0","-1.29870169653036","7.69564325623688","-1","2"
"42","84714910","Processing units for personal &portab computers,presented in form systems","39632942497","103511248","31781070069.0587","0","-1.29008755265341","7.89447024426302","-1","2"
"43","85299099","Oth printed circuit board,not assembled, for other goods","39632942497","102045487","31781070069.0587","125308.739","-1.26987178819395","8.41092654917554","-0.997547073249383","2"
"44","87141090","Oth parts and accessories of vehicles of heading 8711- 8713","39632942497","101617136","31781070069.0587","2278427.694","-1.23106839766751","9.65544583417197","-0.956140038843033","2"
"45","40112010","New pneumatic tyre,of rubber used on buses/lorries, width<450mm","39632942497","100853655","31781070069.0587","1038049.25","-1.24083145407396","9.30456307167343","-0.979624459956955","2"
"46","68109100","Oth prefabricated structural components for building or civil engineering","39632942497","100557163","31781070069.0587","0","-1.25327002449473","8.89671025613865","-1","2"
"47","68109100","Concrete building piles for building or civil engineering","39632942497","100557163","31781070069.0587","0","-1.25327002449473","8.89671025613865","-1","2"
"48","27011100","Anthracite","39632942497","97980121","31781070069.0587","11943130","-1.03552619620822","57.2964857897586","-0.782700568053614","2"
"49","63079090","Oth made up articls, not umbrella covers /surgical masks/harnesses safety","39632942497","95935779","31781070069.0587","806397.336","-1.18313912691434","11.9206592479577","-0.983328939526867","2"
"50","32061110","Pigment base on titanium dioxide contain by weight _ 80 % on dry matter","39632942497","95455332","31781070069.0587","119901.9","-1.1878210113136","11.6484359018847","-0.997490942054603","2"
"51","84439100","Part & accessori of print machinery used for print by component of head 84.42","39632942497","95232680","31781070069.0587","11794679.33","-1.00359141277849","557.883912641844","-0.779595060481065","2"
"52","72259990","Oth flat-roll not hi.sped stel,w.>=600mm otherwise plated or coated with not zin","39632942497","93930448","31781070069.0587","19.994","-1.17067924457104","12.7178864074918","-0.999999574280839","2"
"53","11081200","Maize(corn) starch","39632942497","92766593","31781070069.0587","13.134","-1.15617392422074","13.8062351636449","-0.99999971683776","2"
"54","84733090","Other parts & acces of the machines of automatic data processing & units","39632942497","92482347","31781070069.0587","3028054.988","-1.10556810747291","19.9451156023913","-0.936592142322248","2"
"55","31053000","Diammonium hydrogenorthophosphate (diammonium phosphate)","39632942497","91967153","31781070069.0587","0","-1.14621050012141","14.6789081381926","-1","2"
"56","85299091","Oth printed circuit board,not assembled, for television receivers","39632942497","91526463","31781070069.0587","1753407.19","-1.11346582502283","18.6264527191131","-0.962405453900643","2"
"57","38160090","Oth refractory cements","39632942497","90295143","31781070069.0587","0","-1.12537180548108","16.9525500356767","-1","2"
"58","84159019","Parts AC mach with an output <21,10 kw oth than of chasis / cabins,weld & paint","39632942497","89587821","31781070069.0587","0","-1.11655626779267","18.1590943831316","-1","2"
"59","39219090","Other plates,sheets,film,foil&strip, of plastics","39632942497","88822511","31781070069.0587","1423509.957","-1.08489318017933","24.5590184720987","-0.968452682081612","2"
"60","95030099","Other toys or parts","39632942497","87916317","31781070069.0587","1152944.048","-1.07780430588367","26.7055181880346","-0.974111291944397","2"
"61","85044090","Other static converter for automatic data processing machines&unit thereof","39632942497","83815514","31781070069.0587","10351492.588","-0.883726965170454","-16.2008927343469","-0.780146083791536","4"
"62","60062200","Other knitted/crocheted fabrics of cotton,dyed","39632942497","82606878","31781070069.0587","2295777.294","-0.99386896237733","-325.209056784245","-0.945919776335612","4"
"63","84199019","Parts, oth machicne electrically operated","39632942497","82178732","31781070069.0587","18389.165","-1.02392905572577","84.5803979446587","-0.999552559390417","2"
"64","54075200","Woven fabrics of synt filament yarn from polyester cont >85% , dyed","39632942497","81999602","31781070069.0587","247146.387","-1.01814106465892","111.247112702734","-0.993990123820164","2"
"65","84041019","Economiser,super-heaters,gas reverers with boilers of heading 84.02","39632942497","81797885","31781070069.0587","0","-1.01946827335977","103.731247041811","-1","2"
"66","84818099","Other Fuel cut-off for vehicle","39632942497","81572770","31781070069.0587","714250.495","-1.0055614050293","360.621352781213","-0.982640020486745","2"
"67","85042329","Oth liquid dielectric transformers power handling capacity > 30000 kva","39632942497","81169435","31781070069.0587","50.202","-1.01163495761848","172.895770107826","-0.999998763032687","2"
"68","60041090","Knitted/croch. fabrics,elastomeric>20%, width>30cm,not rubber thread,not 6001","39632942497","79832108","31781070069.0587","304492.769","-0.990235721113545","-203.828233938949","-0.992400656726688","4"
"69","85429000","Parts of electronic integrated circuits","39632942497","78085794","31781070069.0587","1430446.125","-0.950970884200613","-39.7920878725088","-0.964021283633348","4"
"70","84807190","Moulds for rubber or plastics, injection or compression type for optical disc","39632942497","78047901","31781070069.0587","0","-0.972731249369396","-72.3440276414943","-1","4"
"71","84807190","Oth moulds for rubber,plastics, injection/ compression type","39632942497","78047901","31781070069.0587","0","-0.972731249369396","-72.3440276414943","-1","4"
"72","85176229","Oth control & adaptor units, including gateways,bridges and routers","39632942497","77550933","31781070069.0587","16673.144","-0.966278266700741","-58.3089323805297","-0.999570100333661","4"
"73","38089319","Oth herbicides,anti-sprouting product & plant-growth regulator in aerosol cont","39632942497","77105596","31781070069.0587","4893815.166","-0.884925186569936","-16.3799977630682","-0.880637797359473","4"
"74","84163000","Mechanical stokers,including their mech grate,mech ash discharg & similar app","39632942497","76060798","31781070069.0587","0","-0.947965468880109","-37.4360146417359","-1","4"
"75","63079040","Surgical masks","39632942497","75659464","31781070069.0587","22293904.669","-0.596461670233683","-3.9561586904475","-0.544805758659824","4"
"76","39199099","Self-adhesive plate,sheet,film,foil,tape &strip,width>=20cm, oth plastics","39632942497","75624699","31781070069.0587","6325038.246","-0.844223671609545","-11.8389211677077","-0.845636155561713","4"
"77","72253090","Flat-roll not high speed steel,w.>=600mm not further worked than hot-roll,in coil","39632942497","75608311","31781070069.0587","0","-0.942326005945245","-33.6776746223128","-1","4"
"78","72106111","Flat-rolld,iron/nas,plated alumnm-zinc, 1.2mm>thickness,weight<0.6%carbon","39632942497","75290486","31781070069.0587","0","-0.938364870471136","-31.4490272882999","-1","4"
"79","85423100","Processor & controller of electronics integrated circuits","39632942497","74522183","31781070069.0587","4878043.754","-0.852972566125434","-12.6029035350387","-0.877127712264266","4"
"80","84029090","Oth than part of boiler bodies or shells","39632942497","74300213","31781070069.0587","0","-0.926022841023006","-26.0353718317564","-1","4"
"81","59032000","Textile fbrcs impregnated,coated,covered with polyurethane, not 5902","39632942497","73211429","31781070069.0587","282814.639","-0.908057411403015","-20.7527049272745","-0.992303760811822","4"
"82","85044019","Other uninterrupted power supplies","39632942497","73095237","31781070069.0587","2147509.459","-0.877627356833509","-15.3435221161233","-0.942917834341143","4"
"83","29224220","Monosodium glutamate (MSG)","39632942497","72503390","31781070069.0587","43960","-0.902945323522209","-19.6069410829231","-0.998788101839695","4"
"84","85371099","Switchboard use for other prposes","39632942497","72498321","31781070069.0587","3690237.885","-0.84621006041869","-12.0047518416676","-0.903128817790868","4"
"85","38089190","Oth insecticides in oth aerosol containe having oth function","39632942497","69417874","31781070069.0587","0","-0.865172982737708","-13.8338221864629","-1","4"
"86","38089190","Oth insecticides in oth aerosol containe having a deodorosing function","39632942497","69417874","31781070069.0587","0","-0.865172982737708","-13.8338221864629","-1","4"
"87","85014019","Other motor AC, single-phase of an output ? 1 kw","39632942497","69091414","31781070069.0587","32571.3","-0.860597989259022","-13.3469953508503","-0.999057597739522","4"
"88","84195010","Heat exchange units for Cooling towers","39632942497","69059769","31781070069.0587","109805.19","-0.859003185639389","-13.184717641101","-0.996825043632671","4"
"89","85447090","Other optical fibre cables","39632942497","68496855","31781070069.0587","1965.253","-0.853663539024252","-12.6671338548461","-0.999942619362122","4"
"90","54023300","Textured yarn of polyesters","39632942497","68431390","31781070069.0587","839205.605","-0.839834866546207","-11.4871122501639","-0.975770221183447","4"
"91","85176253","Oth transmission apparatus for radio- telephony/radio-telegraphy","39632942497","68198805","31781070069.0587","0","-0.849979409352083","-12.3315033047283","-1","4"
"92","89019036","Other vessels,for transp. motorised of gross tonnage >5000 but <= 50000 ton","39632942497","68168794","31781070069.0587","22499.01","-0.849255684761101","-12.2674986571163","-0.999340120739558","4"
"93","84213990","Filtering machines&apparatus for gases","39632942497","68051217","31781070069.0587","257795.111","-0.844133214519637","-11.8314701162036","-0.99245209078471","4"
"94","85176100","Base stations","39632942497","67026196","31781070069.0587","4.399","-0.835364810635035","-11.1480711852335","-0.999999868737897","4"
"95","39269099","Other articles of plastics and other material","39632942497","66753700","31781070069.0587","2063096.914","-0.799903112751564","-8.99515798322662","-0.940040890988337","4"
"96","31031190","Superphosphates not feed grade","39632942497","66665519","31781070069.0587","0","-0.830869667932892","-10.8251999836814","-1","4"
"97","28030041","Rubber grade of other carbon black","39632942497","65003750","31781070069.0587","28382.29","-0.809717479248575","-9.51068690966466","-0.999127130266206","4"
"98","85021390","Oth. elect generating sets&rotary conv. of an output > 12500 kva","39632942497","64656255","31781070069.0587","30.886","-0.805827209104115","-9.30010430798411","-0.99999904460952","4"
"99","76061290","Oth plain/figured by roll./press. but not surface treatedof non alum. alloys","39632942497","64655101","31781070069.0587","13704.774","-0.805600300800296","-9.28808176264421","-0.999576155030668","4"
